,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
104,KIA SPORTAGE,POA,KIA,SPORTAGE,Diesel,"186,934",Silver,1.7,Manual,SUV,2015,Kildare,1,4,-,Oct-2023,http://www.cars.ie/used-cars/KIA-SPORTAGE-2015-Kildare-1735735
105,FORD FIESTA,POA,FORD,FIESTA,Petrol,"208,456",Blue,1.0,Manual,Hatchback,2014,Kildare,3,4,-,-,http://www.cars.ie/used-cars/FORD-FIESTA-2014-Kildare-1735734
106,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,Diesel,"196,827",Silver,1.6,Manual,Hatchback,2014,Kildare,2,5,-,May-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2014-Kildare-1735733
107,VOLKSWAGEN JETTA,POA,VOLKSWAGEN,JETTA,Diesel,"167,458",Silver,1.6,Manual,Saloon,2011,Kildare,2,4,-,Feb-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-JETTA-2011-Kildare-1735732
108,NISSAN QASHQAI,POA,NISSAN,QASHQAI,Diesel,"331,846",Black,1.5,Manual,Hatchback,2009,Kildare,2,5,-,-,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2009-Kildare-1735731
109,FORD FOCUS,"€4,450",FORD,FOCUS,Diesel,"286,463",Grey,1.8,Manual,Hatchback,2010,Galway,3,3,-,Aug-2022,http://www.cars.ie/used-cars/FORD-FOCUS-2010-Galway-1735589
110,BMW 5 SERIES,"€59,950",BMW,5,Petrol,"17,381",Blue,2.0,Automatic,Saloon,2021,Dublin,1,4,Oct-2023,Apr-2025,http://www.cars.ie/used-cars/BMW-5-SERIES-2021-Dublin-1735781
111,KIA PICANTO,"€4,450",KIA,PICANTO,Petrol,"180,246",Silver,1.0,Manual,Hatchback,2010,Galway,3,5,-,Nov-2023,http://www.cars.ie/used-cars/KIA-PICANTO-2010-Galway-1735588
112,NISSAN QASHQAI,"€10,450",NISSAN,QASHQAI,Petrol,"131,966",Grey,1.6,Manual,SUV,2012,Galway,2,5,-,Nov-2024,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2012-Galway-1735587
113,HYUNDAI I20,"€22,000",HYUNDAI,I20,Petrol,"2,599",White,1.2,Manual,Hatchback,2022,Monaghan,1,5,May-2022,Jan-2026,http://www.cars.ie/used-cars/HYUNDAI-I20-2022-Monaghan-1735580
114,MERCEDES-BENZ E CLASS,"€60,450",MERCEDES-BENZ,E,Diesel,"19,999",Grey,2.0,Automatic,Saloon,2020,Cavan,1,4,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2020-Cavan-1735593
115,MERCEDES-BENZ E CLASS,"€54,895",MERCEDES-BENZ,E,Diesel,"30,000",Blue,2.0,Automatic,Saloon,2020,Cavan,1,4,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2020-Cavan-1735594
116,MERCEDES-BENZ E CLASS,"€60,895",MERCEDES-BENZ,E,Diesel,"16,999",Black,2.0,Automatic,Saloon,2020,Cavan,1,4,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2020-Cavan-1735595
117,MERCEDES-BENZ E CLASS,"€60,750",MERCEDES-BENZ,E,Diesel,"19,999",Black,2.0,Automatic,Saloon,2020,Cavan,1,4,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2020-Cavan-1735596
118,LAND ROVER RANGE ROVER EVOQUE,"€25,950",LAND,ROVER,Diesel,"64,374",Black,2.0,Manual,SUV,2016,Dublin,1,5,-,-,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-EVOQUE-2016-Dublin-1735603
119,BMW 3 SERIES,"€19,495",BMW,3,Diesel,"135,999",Grey,2.0,Automatic,Saloon,2016,Dublin,3,4,Jan-2023,Mar-2022,http://www.cars.ie/used-cars/BMW-3-SERIES-2016-Dublin-1735604
120,VOLKSWAGEN POLO,POA,VOLKSWAGEN,POLO,Petrol,0,Black,1.0,Manual,Hatchback,2023,Westmeath,-,5,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2023-Westmeath-1735629
121,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,Petrol,"60,374",Red,1.2,Automatic,Hatchback,2017,Dublin,1,5,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2017-Dublin-1735676
122,MAZDA MAZDA2,"€10,995",MAZDA,MAZDA2,Petrol,"82,315",Grey,1.3,Manual,Hatchback,2015,Wexford,2,5,Mar-2023,Jun-2023,http://www.cars.ie/used-cars/MAZDA-MAZDA2-2015-Wexford-1735703
123,FORD FIESTA,"€13,495",FORD,FIESTA,Petrol,"77,799",Silver,1.0,Manual,Hatchback,2016,Wexford,1,4,Dec-2022,May-2024,http://www.cars.ie/used-cars/FORD-FIESTA-2016-Wexford-1735704
124,VOLKSWAGEN TIGUAN,POA,VOLKSWAGEN,TIGUAN,Diesel,"132,999",White,2.0,Manual,SUV,2018,Kerry,2,5,May-2023,May-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-2018-Kerry-1735719
125,HYUNDAI TUCSON,"€20,890",HYUNDAI,TUCSON,Diesel,"129,264",Red,1.7,Manual,SUV,2017,Dublin,2,5,May-2023,Feb-2023,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2017-Dublin-1735721
126,HYUNDAI I20,"€19,490",HYUNDAI,I20,Petrol,"66,916",Blue,1.2,Manual,Hatchback,2021,Dublin,1,5,Feb-2023,Jan-2025,http://www.cars.ie/used-cars/HYUNDAI-I20-2021-Dublin-1735722
127,RENAULT MEGANE,POA,RENAULT,MEGANE,Diesel,0,Blue,1.5,Manual,Hatchback,2017,Wicklow,2,4,Mar-2023,Jan-2023,http://www.cars.ie/used-cars/RENAULT-MEGANE-2017-Wicklow-1735727
128,DACIA DUSTER,"€11,995",DACIA,DUSTER,Diesel,"46,000",Silver,1.5,Manual,SUV,2016,Laois,1,4,Feb-2023,Mar-2024,http://www.cars.ie/used-cars/DACIA-DUSTER-2016-Laois-1735730
129,SUZUKI SWIFT,POA,SUZUKI,SWIFT,Petrol,"73,594",Grey,1.2,Automatic,Hatchback,2019,Dublin,1,5,Oct-2022,Jun-2023,http://www.cars.ie/used-cars/SUZUKI-SWIFT-2019-Dublin-1735768
130,NISSAN LEAF,"€11,900",NISSAN,LEAF,Electric,"116,000",Black,0.0,Automatic,Hatchback,2015,Cork,1,4,Oct-2022,Dec-2023,http://www.cars.ie/used-cars/NISSAN-LEAF-2015-Cork-1735766
131,MERCEDES-BENZ GLE CLASS,"€58,950",MERCEDES-BENZ,GLE,Diesel,"46,399",Grey,2.1,Automatic,SUV,2018,Kildare,2,5,Oct-2022,Feb-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-GLE-CLASS-2018-Kildare-1735760
132,BMW X3,"€47,950",BMW,X3,Diesel,"54,598",Grey,2.0,Automatic,SUV,2019,Kildare,2,4,Oct-2022,Jan-2023,http://www.cars.ie/used-cars/BMW-X3-2019-Kildare-1735759
133,AUDI A6,POA,AUDI,A6,Diesel,"131,161",Red,2.0,Automatic,Saloon,2015,Limerick,2,-,Mar-2023,Dec-2023,http://www.cars.ie/used-cars/AUDI-A6-2015-Limerick-1735779
134,BMW 3 SERIES,"€38,995",BMW,3,Diesel,"55,390",Grey,2.0,Automatic,Saloon,2019,Tipperary,-,4,Jul-2023,May-2023,http://www.cars.ie/used-cars/BMW-3-SERIES-2019-Tipperary-1735785
135,MAZDA MX-5,"€6,950",MAZDA,MX-5,Petrol,"173,809",Silver,1.6,Manual,Convertible,2004,Dublin,5,2,Dec-2022,Feb-2023,http://www.cars.ie/used-cars/MAZDA-MX-5-2004-Dublin-1735565
136,HYUNDAI I40,"€8,950",HYUNDAI,I40,Diesel,"204,029",Silver,1.7,Manual,Saloon,2013,Limerick,3,4,Aug-2022,Jun-2023,http://www.cars.ie/used-cars/HYUNDAI-I40-2013-Limerick-1735642
137,FORD MONDEO,POA,FORD,MONDEO,Diesel,0,Silver,1.5,Manual,Hatchback,2016,Meath,2,5,Oct-2022,Feb-2022,http://www.cars.ie/used-cars/FORD-MONDEO-2016-Meath-1735658
138,MERCEDES-BENZ CL CLASS,POA,MERCEDES-BENZ,CL,Petrol,"114,855",Grey,1.6,Manual,Saloon,2015,Meath,1,4,Nov-2022,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-CL-CLASS-2015-Meath-1735657
139,BMW 1 SERIES,POA,BMW,1,Diesel,"109,569",White,2.0,Automatic,Saloon,2018,Meath,2,4,Apr-2023,Jan-2024,http://www.cars.ie/used-cars/BMW-1-SERIES-2018-Meath-1735783
140,VOLVO S60,"€16,950",VOLVO,S60,Diesel,"128,004",Grey,2.0,Manual,Saloon,2017,Meath,3,4,Sep-2022,Apr-2023,http://www.cars.ie/used-cars/VOLVO-S60-2017-Meath-1735656
141,CITROEN BERLINGO,POA,CITROEN,BERLINGO,Diesel,"245,437",White,1.6,Manual,Van,2016,Clare,2,5,-,-,http://www.cars.ie/used-cars/CITROEN-BERLINGO-2016-Clare-1735579
142,FORD MONDEO,"€2,950",FORD,MONDEO,Diesel,"258,571",Black,1.8,Manual,Saloon,2009,Clare,2,4,Feb-2023,May-2023,http://www.cars.ie/used-cars/FORD-MONDEO-2009-Clare-1735573
143,FORD MONDEO,"€2,500",FORD,MONDEO,Diesel,"243,469",Black,2.0,Manual,Hatchback,2008,Clare,1,5,Dec-2022,Feb-2023,http://www.cars.ie/used-cars/FORD-MONDEO-2008-Clare-1735574
144,NISSAN MICRA,"€3,950",NISSAN,MICRA,Petrol,"242,528",Black,1.2,Manual,Hatchback,2010,Clare,6,5,Oct-2022,Feb-2023,http://www.cars.ie/used-cars/NISSAN-MICRA-2010-Clare-1735575
145,FORD FOCUS,"€2,500",FORD,FOCUS,Diesel,"309,935",Blue,1.6,Manual,Hatchback,2008,Clare,2,5,Aug-2022,May-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2008-Clare-1735578
146,AUDI A1,"€13,950",AUDI,A1,Diesel,"127,325",Red,1.6,Manual,Hatchback,2014,Meath,2,5,Oct-2022,May-2024,http://www.cars.ie/used-cars/AUDI-A1-2014-Meath-1735655
147,VOLKSWAGEN GOLF,"€21,950",VOLKSWAGEN,GOLF,Diesel,"80,424",Black,1.6,Automatic,Hatchback,2017,Meath,3,5,Jun-2023,Jul-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2017-Meath-1735660
