,Name,Price,Make,Model,Engine Size,Fuel Type,Odometer,Transmission,Body Type,Manufacturing Year,County,Doors,Color,Owners,Tax Expiry,NCT Expiry,URL
774,VOLKSWAGEN POLO,"€10,950",VOLKSWAGEN,POLO,1.4,Diesel,"91,002",Manual,Hatchback,2013,Dublin,4,White,1,Dec-2022,May-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2013-Dublin-1735856
775,TOYOTA AURIS,"€13,950",TOYOTA,AURIS,1.5,Diesel,"181,004",Manual,SUV,2016,Dublin,4,Black,3,Nov-2022,Feb-2024,http://www.cars.ie/used-cars/TOYOTA-AURIS-2016-Dublin-1735823
776,DACIA DUSTER,"€9,950",DACIA,DUSTER,1.2,Petrol,"107,002",Automatic,Hatchback,2016,Dublin,5,Black,1,-,Nov-2024,http://www.cars.ie/used-cars/DACIA-DUSTER-2016-Dublin-1735822
777,VOLKSWAGEN POLO,"€10,950",VOLKSWAGEN,POLO,1.5,Diesel,"212,005",Manual,Hatchback,2013,Dublin,5,Black,4,Aug-2023,Sep-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2013-Dublin-1735855
778,NISSAN QASHQAI,"€6,950",NISSAN,QASHQAI,1.4,Petrol,"102,002",Automatic,Hatchback,2011,Limerick,5,White,1,Oct-2022,Nov-2023,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2011-Limerick-1735792
779,AUDI A3,"€9,950",AUDI,A3,1.6,Diesel,"84,000",Manual,MPV,2010,Dublin,4,Grey,2,Jul-2023,Mar-2023,http://www.cars.ie/used-cars/AUDI-A3-2010-Dublin-1735839
780,PEUGEOT 3008,"€32,950",PEUGEOT,3008,1.3,Petrol,"128,747",Automatic,Hatchback,2019,Donegal,-,Black,1,Nov-2022,Dec-2024,http://www.cars.ie/used-cars/PEUGEOT-3008-2019-Donegal-1735832
781,HONDA FIT,"€7,950",HONDA,FIT,1.6,Petrol,"106,216",Automatic,MPV,2013,Louth,5,Black,3,Nov-2022,Oct-2023,http://www.cars.ie/used-cars/HONDA-FIT-2013-Louth-1735835
782,SKODA ROOMSTER,"€4,490",SKODA,ROOMSTER,2.1,Diesel,"131,966",Automatic,Saloon,2008,Louth,4,Black,-,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/SKODA-ROOMSTER-2008-Louth-1735836
783,MERCEDES-BENZ C CLASS,"€25,495",MERCEDES-BENZ,C,2.0,Petrol,"206,998",Automatic,Hatchback,2017,Tipperary,5,Black,2,Oct-2022,May-2022,http://www.cars.ie/used-cars/MERCEDES-BENZ-C-CLASS-2017-Tipperary-1735837
784,NISSAN QASHQAI,"€2,999",NISSAN,QASHQAI,1.5,Diesel,"143,999",Manual,Saloon,2008,Dublin,4,Grey,1,Oct-2022,Nov-2023,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2008-Dublin-1735793
785,FORD FOCUS,"€12,950",FORD,FOCUS,1.6,Diesel,"186,999",Manual,Hatchback,2015,Cork,4,White,2,Jan-2023,Nov-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2015-Cork-1735803
786,HONDA CIVIC,"€8,950",HONDA,CIVIC,1.3,Petrol,"145,999",Automatic,Hatchback,2013,Wexford,5,Red,1,Dec-2022,Nov-2023,http://www.cars.ie/used-cars/HONDA-CIVIC-2013-Wexford-1735824
787,HONDA FIT,"€4,950",HONDA,FIT,2.1,Diesel,"60,001",Automatic,Estate,2009,Wexford,5,Silver,1,Jun-2023,Mar-2024,http://www.cars.ie/used-cars/HONDA-FIT-2009-Wexford-1735825
